2017-02-10 10:33:46 CET [8132]: [1-1] user=,db=,app=,client= LOG:  database system was shut down at 2017-02-10 10:33:33 CET
2017-02-10 10:33:46 CET [8132]: [2-1] user=,db=,app=,client= LOG:  MultiXact member wraparound protections are now enabled
2017-02-10 10:33:47 CET [1160]: [1-1] user=,db=,app=,client= LOG:  autovacuum launcher started
2017-02-10 10:33:47 CET [6816]: [3-1] user=,db=,app=,client= LOG:  database system is ready to accept connections
2017-02-10 10:38:47 CET [5880]: [1-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2017-02-10 10:38:47 CET [5880]: [2-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.000 s, sync=0.000 s, total=0.107 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2017-02-10 10:43:47 CET [5880]: [3-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2017-02-10 10:43:47 CET [5880]: [4-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.602 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2017-02-10 10:48:47 CET [5880]: [5-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2017-02-10 10:48:47 CET [5880]: [6-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.000 s, sync=0.000 s, total=0.008 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2017-02-10 10:53:47 CET [5880]: [7-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2017-02-10 10:53:47 CET [5880]: [8-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.000 s, sync=0.000 s, total=0.007 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2017-02-10 10:56:33 CET [9200]: [1-1] user=postgres,db=postgres,app=pgAdmin3 LTS by BigSQL - ??diteur de requ??tes,client=::1 ERROR:  syntax error at or near "extensions" at character 8
2017-02-10 10:56:33 CET [9200]: [2-1] user=postgres,db=postgres,app=pgAdmin3 LTS by BigSQL - ??diteur de requ??tes,client=::1 STATEMENT:  create extensions orafce;
